pid,question,preChatQuestion,preChatResponse,preChatDomain,postChatQuestion,postChatResponse,postChatDomain,predictShared,matchType,matchedDomain,matchedIdx,matchedQuestion,matchedTolerance,groupId
53976390fdf99b73530fe503,1,Do you exercise regularly?,1,arbitrary,your partner exercises regularly?,3,arbitrary,1,low,religion,33,Are you affiliated with any organized religion?,4,racial-coffee
53976390fdf99b73530fe503,2,Do you enjoy being outdoors?,4,arbitrary,your partner enjoys being outdoors?,3,arbitrary,1,low,religion,33,Are you affiliated with any organized religion?,4,racial-coffee
53976390fdf99b73530fe503,3,Do you work from home?,1,arbitrary,your partner works from home?,3,arbitrary,1,low,religion,33,Are you affiliated with any organized religion?,4,racial-coffee
53976390fdf99b73530fe503,4,Do you go out on weekdays?,3,arbitrary,your partner goes out on weekdays?,3,arbitrary,1,low,religion,33,Are you affiliated with any organized religion?,4,racial-coffee
53976390fdf99b73530fe503,5,Do you eat breakfast?,3,arbitrary,your partner eats breakfast?,3,arbitrary,1,low,religion,33,Are you affiliated with any organized religion?,4,racial-coffee
53976390fdf99b73530fe503,6,Have you stayed in the same place for your entire life?,1,background,your partner has stayed in the same place for your entire life?,3,background,1,low,religion,33,Are you affiliated with any organized religion?,4,racial-coffee
53976390fdf99b73530fe503,7,Did you or your family immigrate to a new country?,1,background,your partner or their family immigrated to a new country?,3,background,1,low,religion,33,Are you affiliated with any organized religion?,4,racial-coffee
53976390fdf99b73530fe503,8,Do you enjoy spending time with your family?,4,background,your partner enjoys spending time with their family?,3,background,1,low,religion,33,Are you affiliated with any organized religion?,4,racial-coffee
53976390fdf99b73530fe503,9,Do you live in a city?,4,background,your partner lives in a city?,3,background,1,low,religion,33,Are you affiliated with any organized religion?,4,racial-coffee
53976390fdf99b73530fe503,10,Do you live in a warm climate?,4,background,your partner lives in a warm climate?,3,background,1,low,religion,33,Are you affiliated with any organized religion?,4,racial-coffee
53976390fdf99b73530fe503,11,Are you a parent or caregiver?,1,identity,your partner is a parent or caregiver?,3,identity,1,low,religion,33,Are you affiliated with any organized religion?,4,racial-coffee
53976390fdf99b73530fe503,12,Do you identify as the gender which you were assigned at birth?,1,identity,your partner identifies as the gender they were assigned at birth?,3,identity,1,low,religion,33,Are you affiliated with any organized religion?,4,racial-coffee
53976390fdf99b73530fe503,13,Do you identify as heterosexual?,1,identity,your partner identifies as heterosexual?,3,identity,1,low,religion,33,Are you affiliated with any organized religion?,4,racial-coffee
53976390fdf99b73530fe503,14,Do you feel like an outsider in your local community?,3,identity,your partner feels like an outsider in their local community?,3,identity,1,low,religion,33,Are you affiliated with any organized religion?,4,racial-coffee
