focal_stance_revealed,initial_alignment,initial_alignment_reasoning,last_stance_message,n_post_stance_messages,post_stance_common_ground,common_ground_type,common_ground_reasoning,common_ground_description,post_stance_differences,post_stance_differences_description,group_id,time_bin,time_seconds,matchedQuestion,matchedDomain,matchedTolerance,stance,pct_expect_commonality
True,disagreement,"Dog states their family has not immigrated, while Cat reveals that both of their parents immigrated from other countries. They have opposite experiences regarding the focal topic.",but i was born in the US,18,True,rapport_only,"The participants ask each other questions about their respective backgrounds and express polite interest ('oh that's really cool', 'interesting!'), but they do not discover any substantive shared values, experiences, or perspectives in the post-stance portion.",General rapport and politeness while exploring each other's different backgrounds.,False,"No new disagreements or differences in values emerged; the conversation merely elaborated on the factual differences of their family histories (Cat's parents being from Iran and South Korea, and Dog's family staying local to Texas).",tall-tomato,4,150,Did you or your family immigrate to a new country?,background,4,opposing,1.0
True,disagreement,"Cat begins by stating 'I do' in response to the focal question, indicating a belief in an afterlife. Dog immediately counters with 'Unfortunately I don't believe in an afterlife', establishing a clear disagreement.",Yeah It's a pretty crazy concept. What's your biggest reason for not believing?,0,False,none,"The visible conversation ends with Cat's immediate reaction to Dog's stance and a follow-up question. Since there are no messages after this initial stance establishment, there is no post-stance conversation to analyze yet.",N/A,False,N/A,prime-plum,2,90,Do you believe in an afterlife?,religion,4,opposing,0.5
True,agreement,Dog states that lying depends on the situation and distinguishes between harmless and nasty lies. Cat explicitly agrees ('i think the same') and provides an example that perfectly aligns with Dog's distinction.,i think the same. I would lie to a dying person and say something positive but not make a malicious lie,0,False,none,There are no messages following the initial stance establishment in the provided conversation snippet.,none,False,none,flying-tan,3,120,Is lying acceptable?,morality,2,opposing,1.0
True,disagreement,"Cat explicitly states 'I am not affiliated with any religious organization,' while Dog states 'i am affiliated with lutheranism.' Since one is not affiliated and the other is, they have opposing positions on the focal question.",That is lovely.,4,True,different_topic,"In the final message, Dog points out that 'we are both prolific participants,' establishing shared ground based on the fact that they are both taking part in the study via the Prolific platform.",They discovered that they are both participants on the Prolific platform.,False,No additional differences emerged in the post-stance conversation.,racial-coffee,5,180,Are you affiliated with any organized religion?,religion,4,opposing,0.0
True,agreement,"Dog states 'Yeah I live in a pretty warm climate', and Cat immediately agrees by responding 'I live in a warm climate too'. Both clearly confirm their shared position.",I live in a warm climate too,15,True,related_subtopic,"After establishing they both live in a warm climate, they discuss their personal weather preferences, which is a closely related subtopic. They successfully bond over their mutual enjoyment of cold and rainy weather.","Both participants share a mutual liking for cold and rainy weather, and both agree that they strongly prefer rain over hot weather.",False,"No additional differences emerged; they continuously agreed on their preferences regarding rain, cold, and hot weather.",central-turquoise,5,180,Do you live in a warm climate?,background,0,shared,1.0
False,unclear,"While Dog reveals they have not stayed in the same place their entire life (by stating they moved to Virginia from a different country), Cat has only stated that they currently live in Chicago. Cat has not yet revealed if they have lived there for their entire life, so their alignment remains unclear.",,0,False,none,"Stances have not been fully established yet, so there is no post-stance conversation to analyze.",N/A,False,N/A,unknown-brown,4,150,Have you stayed in the same place for your entire life?,background,4,opposing,0.5
False,not_discussed,Only Dog has shared a perspective on the focal topic. Cat has not sent any messages in the provided portion of the conversation.,,0,False,none,"Stances have not been established yet, so there is no post-stance conversation.",None,False,None,graceful-pink,1,60,Can a machine be moral?,morality,0,shared,1.0
True,disagreement,"Dog explicitly states 'i don't normally eat breakfast', while Cat states 'I eat breakfast everyday', indicating clear disagreement on the focal topic.",ight,1,False,none,"In the only post-stance message visible ('what do you eat'), Dog is asking a follow-up question. There hasn't been enough conversation yet to establish any common ground beyond their initial positions.",None so far,False,None so far,current-cyan,1,60,Do you eat breakfast?,arbitrary,3,opposing,0.5
True,disagreement,"Dog explicitly states they have been a Democrat for all their voting years, while Cat responds that they do not affiliate with any party and stay in the middle, showing a clear difference in their political party affiliation.","Me, I dont have any relation with any party. I usually stay in the middle.",1,False,none,"There is only one post-stance message visible where Dog shares an opinion about the Iowa caucus. Cat has not yet responded, so no common ground has been established.",None,False,None,sick-plum,4,150,Do you affiliate with any political party?,politics,4,opposing,0.0
False,not_discussed,"Dog shares their position on going out on weekdays ('I don't go out much on weekdays how about you?'), but Cat has not replied yet, so both stances have not been revealed.",,0,False,none,"Stances have not been established yet, so there is no post-stance conversation.",none,False,none,professional-amaranth,0,30,Do you go out on weekdays?,arbitrary,0,shared,1.0
False,not_discussed,"Only one participant has spoken so far to ask the focal question, and neither participant has revealed their stance.",,0,False,none,Stances have not yet been established.,none,False,none,marxist-silver,1,60,Do you attend live music concerts?,preferences,1,shared,0.5
True,agreement,Both participants agree that they do not live in a city proper. Dog states 'I don't live in a city' and Cat agrees by explaining they live in the suburbs and concludes 'so maybe not'.,Where I live it is pretty rural,3,False,none,"The visible post-stance conversation consists of Cat asking a follow-up question about Dog's lifestyle and Dog answering. They do not discover any new shared experiences, beliefs, or perspectives in this brief exchange.",None,False,No additional differences or disagreements emerged in the brief post-stance conversation.,conscious-turquoise,5,180,Do you live in a city?,background,4,opposing,0.0
