pid,question,true_response,prob_correct,category,question_domain,matched_domain
675a5741c07e900d972a1706,1,5,0.25,different_domain,arbitrary,preferences
675a5741c07e900d972a1706,2,5,0.1,different_domain,arbitrary,preferences
675a5741c07e900d972a1706,3,1,0.15,different_domain,arbitrary,preferences
675a5741c07e900d972a1706,4,5,0.3,different_domain,arbitrary,preferences
675a5741c07e900d972a1706,5,5,0.15,different_domain,background,preferences
675a5741c07e900d972a1706,6,1,0.7,different_domain,background,preferences
675a5741c07e900d972a1706,7,1,0.05,different_domain,background,preferences
675a5741c07e900d972a1706,8,5,0.2,different_domain,background,preferences
675a5741c07e900d972a1706,9,5,0.1,different_domain,background,preferences
675a5741c07e900d972a1706,10,5,0.4,different_domain,identity,preferences
675a5741c07e900d972a1706,11,1,0.02,different_domain,identity,preferences
675a5741c07e900d972a1706,12,5,0.8,different_domain,identity,preferences
675a5741c07e900d972a1706,13,5,0.05,different_domain,identity,preferences
675a5741c07e900d972a1706,14,2,0.15,different_domain,identity,preferences
675a5741c07e900d972a1706,15,5,0.05,different_domain,morality,preferences
675a5741c07e900d972a1706,16,1,0.4,different_domain,morality,preferences
675a5741c07e900d972a1706,17,3,0.3,different_domain,morality,preferences
675a5741c07e900d972a1706,18,4,0.05,different_domain,morality,preferences
675a5741c07e900d972a1706,19,1,0.05,different_domain,morality,preferences
675a5741c07e900d972a1706,20,5,0.05,different_domain,politics,preferences
675a5741c07e900d972a1706,21,1,0.2,different_domain,politics,preferences
675a5741c07e900d972a1706,22,2,0.15,different_domain,politics,preferences
675a5741c07e900d972a1706,23,5,0.25,different_domain,politics,preferences
675a5741c07e900d972a1706,24,4,1.0,different_domain,politics,preferences
675a5741c07e900d972a1706,25,5,0.15,matched,preferences,preferences
675a5741c07e900d972a1706,26,5,0.15,same_domain,preferences,preferences
675a5741c07e900d972a1706,27,5,0.1,same_domain,preferences,preferences
675a5741c07e900d972a1706,28,2,0.2,same_domain,preferences,preferences
675a5741c07e900d972a1706,29,1,0.4,same_domain,preferences,preferences
675a5741c07e900d972a1706,30,5,0.15,different_domain,religion,preferences
675a5741c07e900d972a1706,31,1,0.2,different_domain,religion,preferences
675a5741c07e900d972a1706,32,4,0.15,different_domain,religion,preferences
675a5741c07e900d972a1706,33,2,0.15,different_domain,religion,preferences
675a5741c07e900d972a1706,34,5,0.1,different_domain,religion,preferences
5ec741f90b0a68183be0ac6d,1,1,0.05,different_domain,arbitrary,background
5ec741f90b0a68183be0ac6d,2,5,0.15,different_domain,arbitrary,background
5ec741f90b0a68183be0ac6d,3,1,0.15,different_domain,arbitrary,background
5ec741f90b0a68183be0ac6d,4,2,0.15,different_domain,arbitrary,background
5ec741f90b0a68183be0ac6d,5,2,0.0,same_domain,background,background
5ec741f90b0a68183be0ac6d,6,1,0.6,matched,background,background
5ec741f90b0a68183be0ac6d,7,1,0.05,same_domain,background,background
5ec741f90b0a68183be0ac6d,8,5,0.3,same_domain,background,background
5ec741f90b0a68183be0ac6d,9,5,0.2,same_domain,background,background
5ec741f90b0a68183be0ac6d,10,5,0.3,different_domain,identity,background
5ec741f90b0a68183be0ac6d,11,1,0.02,different_domain,identity,background
5ec741f90b0a68183be0ac6d,12,5,0.7,different_domain,identity,background
5ec741f90b0a68183be0ac6d,13,5,0.15,different_domain,identity,background
5ec741f90b0a68183be0ac6d,14,2,0.15,different_domain,identity,background
5ec741f90b0a68183be0ac6d,15,1,0.5,different_domain,morality,background
5ec741f90b0a68183be0ac6d,16,4,0.1,different_domain,morality,background
5ec741f90b0a68183be0ac6d,17,3,0.25,different_domain,morality,background
5ec741f90b0a68183be0ac6d,18,4,0.1,different_domain,morality,background
5ec741f90b0a68183be0ac6d,19,2,0.1,different_domain,morality,background
5ec741f90b0a68183be0ac6d,20,2,0.25,different_domain,politics,background
5ec741f90b0a68183be0ac6d,21,1,0.3,different_domain,politics,background
5ec741f90b0a68183be0ac6d,22,5,0.2,different_domain,politics,background
5ec741f90b0a68183be0ac6d,23,4,0.25,different_domain,politics,background
5ec741f90b0a68183be0ac6d,24,5,0.5,different_domain,politics,background
5ec741f90b0a68183be0ac6d,25,4,0.35,different_domain,preferences,background
5ec741f90b0a68183be0ac6d,26,5,0.2,different_domain,preferences,background
5ec741f90b0a68183be0ac6d,27,5,0.15,different_domain,preferences,background
5ec741f90b0a68183be0ac6d,28,1,0.1,different_domain,preferences,background
5ec741f90b0a68183be0ac6d,29,5,0.1,different_domain,preferences,background
5ec741f90b0a68183be0ac6d,30,2,0.2,different_domain,religion,background
5ec741f90b0a68183be0ac6d,31,2,0.2,different_domain,religion,background
5ec741f90b0a68183be0ac6d,32,3,0.15,different_domain,religion,background
5ec741f90b0a68183be0ac6d,33,5,0.2,different_domain,religion,background
5ec741f90b0a68183be0ac6d,34,4,0.2,different_domain,religion,background
667984ded209db9088acaf30,1,5,0.25,different_domain,arbitrary,morality
667984ded209db9088acaf30,2,5,0.1,different_domain,arbitrary,morality
667984ded209db9088acaf30,3,5,0.1,different_domain,arbitrary,morality
667984ded209db9088acaf30,4,1,0.15,different_domain,arbitrary,morality
667984ded209db9088acaf30,5,5,0.2,different_domain,background,morality
667984ded209db9088acaf30,6,1,0.7,different_domain,background,morality
667984ded209db9088acaf30,7,1,0.02,different_domain,background,morality
667984ded209db9088acaf30,8,5,0.15,different_domain,background,morality
667984ded209db9088acaf30,9,5,0.1,different_domain,background,morality
667984ded209db9088acaf30,10,5,0.4,different_domain,identity,morality
667984ded209db9088acaf30,11,1,0.01,different_domain,identity,morality
667984ded209db9088acaf30,12,5,0.8,different_domain,identity,morality
667984ded209db9088acaf30,13,5,0.1,different_domain,identity,morality
667984ded209db9088acaf30,14,1,0.1,different_domain,identity,morality
667984ded209db9088acaf30,15,5,0.02,same_domain,morality,morality
667984ded209db9088acaf30,16,4,0.0,same_domain,morality,morality
667984ded209db9088acaf30,17,1,0.15,matched,morality,morality
667984ded209db9088acaf30,18,2,0.25,same_domain,morality,morality
667984ded209db9088acaf30,19,2,0.05,same_domain,morality,morality
667984ded209db9088acaf30,20,3,0.2,different_domain,politics,morality
667984ded209db9088acaf30,21,1,0.35,different_domain,politics,morality
667984ded209db9088acaf30,22,1,0.1,different_domain,politics,morality
667984ded209db9088acaf30,23,5,0.35,different_domain,politics,morality
667984ded209db9088acaf30,24,5,0.6,different_domain,politics,morality
667984ded209db9088acaf30,25,5,0.1,different_domain,preferences,morality
667984ded209db9088acaf30,26,5,0.1,different_domain,preferences,morality
667984ded209db9088acaf30,27,4,0.2,different_domain,preferences,morality
667984ded209db9088acaf30,28,3,0.2,different_domain,preferences,morality
667984ded209db9088acaf30,29,5,0.1,different_domain,preferences,morality
667984ded209db9088acaf30,30,2,0.15,different_domain,religion,morality
667984ded209db9088acaf30,31,1,0.1,different_domain,religion,morality
667984ded209db9088acaf30,32,3,0.2,different_domain,religion,morality
667984ded209db9088acaf30,33,1,0.05,different_domain,religion,morality
667984ded209db9088acaf30,34,4,0.25,different_domain,religion,morality
65c1158c42ae46b4f170955f,1,5,1.0,same_domain,arbitrary,arbitrary
65c1158c42ae46b4f170955f,2,5,0.1,matched,arbitrary,arbitrary
65c1158c42ae46b4f170955f,3,5,0.25,same_domain,arbitrary,arbitrary
65c1158c42ae46b4f170955f,4,4,0.25,same_domain,arbitrary,arbitrary
65c1158c42ae46b4f170955f,5,5,0.1,different_domain,background,arbitrary
65c1158c42ae46b4f170955f,6,1,0.75,different_domain,background,arbitrary
65c1158c42ae46b4f170955f,7,5,0.35,different_domain,background,arbitrary
65c1158c42ae46b4f170955f,8,5,0.15,different_domain,background,arbitrary
65c1158c42ae46b4f170955f,9,5,0.15,different_domain,background,arbitrary
65c1158c42ae46b4f170955f,10,1,0.3,different_domain,identity,arbitrary
65c1158c42ae46b4f170955f,11,1,0.02,different_domain,identity,arbitrary
65c1158c42ae46b4f170955f,12,5,0.65,different_domain,identity,arbitrary
65c1158c42ae46b4f170955f,13,1,0.3,different_domain,identity,arbitrary
65c1158c42ae46b4f170955f,14,1,0.15,different_domain,identity,arbitrary
65c1158c42ae46b4f170955f,15,1,0.55,different_domain,morality,arbitrary
65c1158c42ae46b4f170955f,16,3,0.2,different_domain,morality,arbitrary
65c1158c42ae46b4f170955f,17,1,0.1,different_domain,morality,arbitrary
