group_id,time_bin,bin_seconds,question,stance,question_category,question_domain,predicted_agreement,actual_agreement
capable-plum,2,30,1,opposing,same_domain,arbitrary,0.42,True
capable-plum,2,30,2,opposing,matched,arbitrary,0.01,False
capable-plum,2,30,3,opposing,same_domain,arbitrary,0.5,False
capable-plum,2,30,4,opposing,same_domain,arbitrary,0.45,False
capable-plum,2,30,5,opposing,same_domain,arbitrary,0.6,True
capable-plum,2,30,6,opposing,different_domain,background,0.5,False
capable-plum,2,30,7,opposing,different_domain,background,0.5,True
capable-plum,2,30,8,opposing,different_domain,background,0.6,True
capable-plum,2,30,9,opposing,different_domain,background,0.5,False
capable-plum,2,30,10,opposing,different_domain,background,0.5,True
capable-plum,2,30,11,opposing,different_domain,identity,0.5,False
capable-plum,2,30,12,opposing,different_domain,identity,0.9,True
capable-plum,2,30,13,opposing,different_domain,identity,0.85,True
capable-plum,2,30,14,opposing,different_domain,identity,0.5,True
capable-plum,2,30,15,opposing,different_domain,identity,0.5,False
capable-plum,2,30,16,opposing,different_domain,morality,0.5,False
capable-plum,2,30,17,opposing,different_domain,morality,0.5,True
capable-plum,2,30,18,opposing,different_domain,morality,0.5,True
capable-plum,2,30,19,opposing,different_domain,morality,0.5,True
capable-plum,2,30,20,opposing,different_domain,morality,0.5,True
capable-plum,2,30,21,opposing,different_domain,politics,0.5,True
capable-plum,2,30,22,opposing,different_domain,politics,0.5,True
capable-plum,2,30,23,opposing,different_domain,politics,0.5,False
capable-plum,2,30,24,opposing,different_domain,politics,0.5,True
capable-plum,2,30,25,opposing,different_domain,politics,0.6,True
capable-plum,2,30,26,opposing,different_domain,preferences,0.48,True
capable-plum,2,30,27,opposing,different_domain,preferences,0.5,True
capable-plum,2,30,28,opposing,different_domain,preferences,0.5,True
capable-plum,2,30,29,opposing,different_domain,preferences,0.5,True
capable-plum,2,30,30,opposing,different_domain,preferences,0.5,True
capable-plum,2,30,31,opposing,different_domain,religion,0.5,True
capable-plum,2,30,32,opposing,different_domain,religion,0.5,True
capable-plum,2,30,33,opposing,different_domain,religion,0.5,False
capable-plum,2,30,34,opposing,different_domain,religion,0.5,True
capable-plum,2,30,35,opposing,different_domain,religion,0.5,True
enthusiastic-coffee,11,165,1,opposing,different_domain,arbitrary,0.62,True
enthusiastic-coffee,11,165,2,opposing,different_domain,arbitrary,0.65,True
enthusiastic-coffee,11,165,3,opposing,different_domain,arbitrary,0.5,True
