group_id,time_bin,focal_stance_revealed,stance_in_this_window,initial_alignment,post_stance_differences,time_seconds,matchedQuestion,matchedDomain,matchedTolerance,stance,pct_expect_commonality,post_stance_shared_reality,post_stance_shared_reality_agree_count,post_stance_shared_reality_confidence,post_stance_topic_scope,post_stance_topic_scope_agree_count,post_stance_topic_scope_confidence,post_stance_inner_state_dimension,post_stance_inner_state_dimension_agree_count,post_stance_inner_state_dimension_confidence,conversational_goal,conversational_goal_agree_count,conversational_goal_confidence
abstract-blue,0,False,False,not_discussed,False,15,Do you enjoy reading?,preferences,0,shared,1.0,False,3,unanimous,none,3,unanimous,none,3,unanimous,rapport_building,3,unanimous
abstract-blue,1,False,False,not_discussed,False,30,Do you enjoy reading?,preferences,0,shared,1.0,False,3,unanimous,none,3,unanimous,none,3,unanimous,stance_sharing,3,unanimous
abstract-blue,2,False,False,not_discussed,False,45,Do you enjoy reading?,preferences,0,shared,1.0,False,3,unanimous,none,3,unanimous,none,3,unanimous,rapport_building,3,unanimous
abstract-blue,3,True,True,agreement,False,60,Do you enjoy reading?,preferences,0,shared,1.0,True,3,unanimous,same_values,3,unanimous,shared_feelings,3,unanimous,stance_sharing,3,unanimous
abstract-blue,4,True,False,agreement,False,75,Do you enjoy reading?,preferences,0,shared,1.0,False,3,unanimous,none,3,unanimous,none,3,unanimous,sharing_experience,3,unanimous
abstract-blue,5,True,False,agreement,False,90,Do you enjoy reading?,preferences,0,shared,1.0,False,3,unanimous,none,3,unanimous,none,3,unanimous,perspective_seeking,3,unanimous
abstract-blue,7,True,False,agreement,False,120,Do you enjoy reading?,preferences,0,shared,1.0,True,3,unanimous,related_subtopic,3,unanimous,shared_thoughts,3,unanimous,finding_commonality,3,unanimous
abstract-blue,8,True,False,agreement,False,135,Do you enjoy reading?,preferences,0,shared,1.0,True,3,unanimous,related_subtopic,3,unanimous,shared_thoughts,2,majority,finding_commonality,3,unanimous
abstract-blue,9,True,False,agreement,False,150,Do you enjoy reading?,preferences,0,shared,1.0,True,3,unanimous,related_subtopic,3,unanimous,shared_thoughts,3,unanimous,finding_commonality,3,unanimous
abstract-blue,11,True,False,agreement,True,180,Do you enjoy reading?,preferences,0,shared,1.0,False,3,unanimous,none,3,unanimous,none,3,unanimous,sharing_experience,2,majority
abstract-blue,12,True,False,agreement,False,195,Do you enjoy reading?,preferences,0,shared,1.0,False,3,unanimous,none,3,unanimous,none,3,unanimous,stance_sharing,3,unanimous
actual-pink,0,False,False,not_discussed,False,15,Are you a spiritual person?,religion,0,shared,1.0,False,3,unanimous,none,3,unanimous,none,3,unanimous,rapport_building,3,unanimous
actual-pink,1,False,False,unclear,False,30,Are you a spiritual person?,religion,0,shared,1.0,False,3,unanimous,none,3,unanimous,none,3,unanimous,stance_sharing,2,majority
actual-pink,2,False,False,not_discussed,False,45,Are you a spiritual person?,religion,0,shared,1.0,False,3,unanimous,none,3,unanimous,none,3,unanimous,perspective_seeking,3,unanimous
actual-pink,3,True,True,agreement,False,60,Are you a spiritual person?,religion,0,shared,1.0,True,3,unanimous,same_values,3,unanimous,shared_beliefs,3,unanimous,stance_sharing,3,unanimous
actual-pink,5,True,False,agreement,False,90,Are you a spiritual person?,religion,0,shared,1.0,True,3,unanimous,same_values,3,unanimous,shared_beliefs,3,unanimous,sharing_experience,2,majority
actual-pink,6,True,False,agreement,False,105,Are you a spiritual person?,religion,0,shared,1.0,True,3,unanimous,same_values,3,unanimous,shared_beliefs,3,unanimous,finding_commonality,3,unanimous
actual-pink,7,True,False,agreement,False,120,Are you a spiritual person?,religion,0,shared,1.0,False,3,unanimous,none,3,unanimous,none,3,unanimous,exploring_nuance,3,unanimous
actual-pink,8,True,False,agreement,False,135,Are you a spiritual person?,religion,0,shared,1.0,False,3,unanimous,none,3,unanimous,none,3,unanimous,perspective_seeking,3,unanimous
actual-pink,10,True,False,agreement,False,165,Are you a spiritual person?,religion,0,shared,1.0,False,3,unanimous,none,3,unanimous,none,3,unanimous,sharing_experience,2,majority
actual-pink,11,True,False,agreement,False,180,Are you a spiritual person?,religion,0,shared,1.0,False,3,unanimous,rapport_only,3,unanimous,none,3,unanimous,rapport_building,3,unanimous
